Datum und Uhrzeit,Gesamt Erzeugung,Gesamt Verbrauch,Eigenverbrauch,Energie ins Netz eingespeist,Energie vom Netz bezogen
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2025,22402.3031,9501.3031,2053.3031,20349.0,7448.0
02.01.2025,1578.145,10116.145,1575.145,3.0,8541.0
03.01.2025,5661.0178,14167.0178,2626.0178,3035.0,11541.0
04.01.2025,8223.0125,10278.0125,2737.0125,5486.0,7541.0
05.01.2025,745.4097,12386.4097,745.4097,0.0,11641.0
06.01.2025,24725.8532,9646.8532,2053.8532,22672.0,7593.0
07.01.2025,12741.5529,10238.5529,2052.5529,10689.0,8186.0
08.01.2025,6094.2708,8259.2708,1543.2708,4551.0,6716.0
09.01.2025,2536.9444,7586.9444,1181.9444,1355.0,6405.0
10.01.2025,10522.8914,12502.8914,4192.8914,6330.0,8310.0
11.01.2025,30082.0102,10910.0102,4527.0102,25555.0,6383.0
12.01.2025,42421.3761,12039.3761,2159.3761,40262.0,9880.0
13.01.2025,38292.529,9378.529,2202.529,36090.0,7176.0
14.01.2025,44121.8622,15724.8622,2370.8622,41751.0,13354.0
15.01.2025,7769.6483,14448.6483,1684.6483,6085.0,12764.0
16.01.2025,46454.6361,18223.6361,2324.6361,44130.0,15899.0
17.01.2025,3551.2439,21204.2439,3477.2439,74.0,17727.0
18.01.2025,28342.7503,28246.7503,10202.7503,18140.0,18044.0
19.01.2025,48196.5808,30239.5808,15111.5808,33085.0,15128.0
20.01.2025,42235.7872,15008.7872,2166.7872,40069.0,12842.0
21.01.2025,15765.5589,24596.5589,6840.5589,8925.0,17756.0
22.01.2025,18353.5919,8942.5919,2198.5919,16155.0,6744.0
23.01.2025,4327.6347,12163.6347,1519.6347,2808.0,10644.0
24.01.2025,14098.9244,12318.9244,2110.9244,11988.0,10208.0
25.01.2025,14280.955,8539.955,2074.955,12206.0,6465.0
26.01.2025,13988.77,15403.77,4010.77,9978.0,11393.0
27.01.2025,10598.6847,8186.6847,1764.6847,8834.0,6422.0
28.01.2025,9785.8081,9581.8081,1849.8081,7936.0,7732.0
29.01.2025,16513.6142,8572.6142,2065.6142,14448.0,6507.0
30.01.2025,20151.6011,10875.6011,2434.6011,17717.0,8441.0
31.01.2025,26475.7944,18270.7944,7868.7944,18607.0,10402.0
01.02.2025,64418.2206,15541.2206,8085.2206,56333.0,7456.0
02.02.2025,62757.2747,14777.2747,5577.2747,57180.0,9200.0
03.02.2025,6333.1603,13798.1603,3065.1603,3268.0,10733.0
04.02.2025,9080.1542,11707.1542,2027.1542,7053.0,9680.0
